id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|PR	CM|UN	CM|nan	EC|CM	EC|EC	EC|EP	EC|PR	EC|UN	EC|nan	EP|CM	EP|EC	EP|EP	EP|PR	EP|UN	EP|nan	PR|CM	PR|EC	PR|EP	PR|PR	PR|UN	PR|nan	UN|CM	UN|EC	UN|EP	UN|PR	UN|UN	UN|nan	nan|CM	nan|EC	nan|EP	nan|PR	nan|UN	nan|nan
CPI-SS0D9BC4188	GNRH2_GNRHR	simple:O43555	simple:P30968	GNRH2	GNRHR	True	False	True	curated	False	Ligand-Receptor	Signaling by Progonadoliberin	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS023F349AF	ProstaglandinE2_byPTGES_PTGER4	complex:ProstaglandinE2_byPTGES	simple:P35408		PTGER4	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.0	0.0	0.003	0.0	0.004	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.193	0.0	0.193	0.196	0.0	0.0	0.004	0.0	0.005	0.007	0.0	0.0	0.026	0.0	0.027	0.029
CPI-SS056D0AD0D	RSPO2_LGR5	simple:Q6UXX9	simple:O75473	RSPO2	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.0	0.0	0.008	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C3906934	RSPO3_LGR5	simple:Q9BXY4	simple:O75473	RSPO3	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.0	0.0	0.593	0.0	0.0	0.588	0.0	0.0	0.017	0.0	0.0	0.011	0.0	0.0	0.055	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.241	0.0	0.0	0.236	0.0	0.0	0.14	0.0	0.0	0.134
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.002	0.0	0.0	0.0	0.004	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.798	0.0	0.0	0.0	0.8	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.006	0.036	0.004	0.0	0.0	0.0	0.006	0.036
CPI-CS033058D2B	atRetinoicAcid_byALDH1A2_RORB	complex:atRetinoicAcid_byALDH1A2	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.001	0.0	0.0	0.0	0.003	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.005	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.004	0.033	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0C61C245A	atRetinoicAcid_byALDH1A3_RORB	complex:atRetinoicAcid_byALDH1A3	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.0	0.0	0.0	0.0	0.002	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.004	0.034
CPI-SS02CAD3BF8	VIP_SCTR	simple:P01282	simple:P47872	VIP	SCTR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vasoactive Intestinal Peptide	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F3A089DE	SEMA3E_PLXND1	simple:O15041	simple:Q9Y4D7	SEMA3E	PLXND1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.049	0.557	0.019	0.451	0.03	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.56	0.022	0.454	0.033	0.099	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.558	0.02	0.451	0.031	0.097	0.051	0.559	0.021	0.453	0.032	0.098
CPI-SS0FE594C97	SST_SSTR2	simple:P61278	simple:P30874	SST	SSTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Somatostatin	0.002	0.0	0.1	0.181	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D681D90E	SDC2_ADGRA2	simple:P34741	simple:Q96PE1	SDC2	ADGRA2	True	False	True	curated	False	Ligand-Receptor	Signaling by Syndecan	0.139	0.206	0.0	0.314	0.135	0.308	0.033	0.1	0.0	0.207	0.029	0.202	0.599	0.666	0.0	0.774	0.595	0.768	0.101	0.167	0.0	0.275	0.097	0.269	0.061	0.127	0.0	0.235	0.057	0.229	0.333	0.399	0.0	0.507	0.329	0.501
CPI-SS02A8BD654	TAC1_TACR1	simple:P20366	simple:P25103	TAC1	TACR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Tachykinins	0.004	0.0	0.0	0.0	0.004	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.003	0.008	0.124	0.0	0.0	0.0	0.125	0.13	0.012	0.0	0.0	0.0	0.012	0.017	0.254	0.0	0.0	0.0	0.254	0.259
CPI-SS05A3055C3	TNFSF10_TNFRSF11B	simple:P50591	simple:O00300	TNFSF10	TNFRSF11B	True	False	False	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.003	0.015	0.013	0.0	0.0	0.021	0.03	0.042	0.04	0.0	0.0	0.048	0.097	0.109	0.107	0.0	0.0	0.115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.027	0.026	0.0	0.0	0.034
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.604	1.204	0.421	0.517	0.494	0.467	0.411	1.011	0.228	0.323	0.301	0.273	0.875	1.475	0.692	0.787	0.765	0.737	0.356	0.956	0.173	0.269	0.246	0.218	0.624	1.224	0.441	0.536	0.514	0.486	0.796	1.396	0.613	0.708	0.686	0.658
CPI-SS0786D3749	WNT2B_FRZB	simple:Q93097	simple:Q92765	WNT2B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.126	0.011	0.013	0.0	0.072	0.037	0.148	0.033	0.035	0.0	0.094	0.059	0.126	0.011	0.013	0.0	0.072	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.133	0.018	0.02	0.0	0.079	0.044	0.132	0.017	0.019	0.0	0.079	0.044
CPI-SS0EE63435D	WNT4_FRZB	simple:P56705	simple:Q92765	WNT4	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.12	0.005	0.007	0.0	0.067	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.122	0.007	0.009	0.0	0.069	0.034	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS007954822	WNT5A_FRZB	simple:P41221	simple:Q92765	WNT5A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.131	0.016	0.018	0.0	0.078	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.137	0.022	0.024	0.0	0.084	0.049	0.2	0.085	0.087	0.0	0.146	0.111	0.127	0.012	0.014	0.0	0.073	0.038	0.194	0.079	0.081	0.0	0.141	0.106
CPI-SS0EBBBD522	WNT9A_FRZB	simple:O14904	simple:Q92765	WNT9A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.12	0.005	0.007	0.0	0.067	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.122	0.007	0.009	0.0	0.069	0.034	0.121	0.005	0.007	0.0	0.067	0.032
CPI-SS05207EFF8	WNT2B_SFRP1	simple:Q93097	simple:Q8N474	WNT2B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.762	0.335	0.088	0.259	0.281	0.646	0.784	0.357	0.111	0.281	0.303	0.668	0.762	0.335	0.089	0.259	0.281	0.646	0.0	0.0	0.0	0.0	0.0	0.0	0.769	0.342	0.096	0.266	0.288	0.653	0.769	0.341	0.095	0.266	0.288	0.652
CPI-SS036707F4C	WNT4_SFRP1	simple:P56705	simple:Q8N474	WNT4	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.756	0.329	0.083	0.254	0.276	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.759	0.331	0.085	0.256	0.278	0.642	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F1E79A03	WNT5A_SFRP1	simple:P41221	simple:Q8N474	WNT5A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.768	0.34	0.094	0.265	0.287	0.652	0.0	0.0	0.0	0.0	0.0	0.0	0.774	0.346	0.1	0.271	0.293	0.658	0.836	0.409	0.163	0.333	0.355	0.72	0.763	0.336	0.089	0.26	0.282	0.647	0.831	0.404	0.157	0.328	0.35	0.715
CPI-SS0A93EEAEB	WNT9A_SFRP1	simple:O14904	simple:Q8N474	WNT9A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.757	0.329	0.083	0.254	0.276	0.641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.759	0.331	0.085	0.256	0.278	0.643	0.757	0.33	0.083	0.254	0.276	0.641
CPI-SS08643DD8A	WNT2B_SFRP2	simple:Q93097	simple:Q96HF1	WNT2B	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.006	0.0	0.0	0.0	0.008	0.0	0.028	0.0	0.0	0.0	0.03	0.0	0.006	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.015	0.0	0.013	0.0	0.0	0.0	0.015	0.0
CPI-SS0661CE946	WNT4_SFRP2	simple:P56705	simple:Q96HF1	WNT4	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.001	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03F33B34C	WNT5A_SFRP2	simple:P41221	simple:Q96HF1	WNT5A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.012	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.02	0.0	0.08	0.0	0.0	0.0	0.082	0.0	0.007	0.0	0.0	0.0	0.009	0.0	0.075	0.0	0.0	0.0	0.077	0.0
CPI-SS00877D499	WNT9A_SFRP2	simple:O14904	simple:Q96HF1	WNT9A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.001	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.003	0.0
CPI-SC0BDF87EA3	GDNF_RET_receptor_1	simple:P39905	complex:RET_receptor_1	GDNF		True	False	True	curated	False	Ligand-Receptor		0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.007	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.006	0.0	0.0	0.0	0.001
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	Adhesion-Adhesion		0.003	0.898	0.0	0.2	0.008	0.034	0.898	1.794	0.0	1.096	0.904	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.2	1.096	0.0	0.397	0.206	0.232	0.008	0.904	0.0	0.206	0.014	0.04	0.034	0.93	0.0	0.232	0.04	0.066
